0,1,2,3,4,5,6,7,8,9,10,11,12
RG Sharma (INDIA),264,225,173,33,9,152.6,1,,v Sri Lanka,Kolkata,13-Nov-14,
MJ Guptill (NZ),237*,223,163,24,11,145.39,1,,v West Indies,Wellington,21-Mar-15,
V Sehwag (INDIA),219,208,149,25,7,146.97,1,,v West Indies,Indore,08-Dec-11,
CH Gayle (WI),215,212,147,10,16,146.25,1,,v Zimbabwe,Canberra,24-Feb-15,
Fakhar Zaman (PAK),210*,221,156,24,5,134.61,1,,v Zimbabwe,Bulawayo,20-Jul-18,
RG Sharma (INDIA),209,222,158,12,16,132.27,1,,v Australia,Bengaluru,02-Nov-13,
RG Sharma (INDIA),208*,212,153,13,12,135.94,1,,v Sri Lanka,Mohali,13-Dec-17,
SR Tendulkar (INDIA),200*,226,147,25,3,136.05,1,,v South Africa,Gwalior,24-Feb-10,
CK Coventry (ZIM),194*,191,156,16,7,124.35,1,,v Bangladesh,Bulawayo,16-Aug-09,
MJ Guptill (NZ),189*,216,155,19,2,121.93,1,,v England,Southampton,02-Jun-13,
SR Watson (AUS),185*,113,96,15,15,192.7,2,,v Bangladesh,Dhaka,11-Apr-11,
F du Plessis (SA),185,212,141,16,3,131.2,1,,v Sri Lanka,Cape Town,07-Feb-17,
MS Dhoni (INDIA),183*,210,145,15,10,126.2,2,,v Sri Lanka,Jaipur,31-Oct-05,
V Kohli (INDIA),183,211,148,22,1,123.64,2,,v Pakistan,Dhaka,18-Mar-12,
ML Hayden (AUS),181*,227,166,11,10,109.03,1,,v New Zealand,Hamilton,20-Feb-07,
LRPL Taylor (NZ),181*,213,147,17,6,123.12,2,,v England,Dunedin,07-Mar-18,
MJ Guptill (NZ),180*,198,138,15,11,130.43,2,,v South Africa,Hamilton,01-Mar-17,
JJ Roy (ENG),180,151,151,16,5,119.2,2,,v Australia,Melbourne,14-Jan-18,
DA Warner (AUS),179,186,128,19,5,139.84,1,,v Pakistan,Adelaide,26-Jan-17,
JD Campbell (WI),179,-,137,15,6,130.65,1,,v Ireland,Dublin,05-May-19,
H Masakadza (ZIM),178*,201,167,17,4,106.58,1,,v Kenya,Harare,18-Oct-09,
DA Warner (AUS),178,164,133,19,5,133.83,1,,v Afghanistan,Perth,04-Mar-15,
Q de Kock (SA),178,142,113,16,11,157.52,2,,v Australia,Centurion,30-Sep-16,
PR Stirling (IRE),177,177,134,21,5,132.08,1,,v Canada,Toronto,07-Sep-10,
E Lewis (WI),176*,-,130,17,7,135.38,1,,v England,The Oval,27-Sep-17,
AB de Villiers (SA),176,121,104,15,7,169.23,1,,v Bangladesh,Paarl,18-Oct-17,
HH Gibbs (SA),175,142,111,21,7,157.65,2,,v Australia,Johannesburg,12-Mar-06,
SR Tendulkar (INDIA),175,210,141,19,4,124.11,2,,v Australia,Hyderabad (Deccan),05-Nov-09,
V Sehwag (INDIA),175,198,140,14,5,125,1,,v Bangladesh,Dhaka,19-Feb-11,
CS MacLeod (SCOT),175,201,141,14,5,124.11,1,,v Canada,Christchurch,23-Jan-14,
WU Tharanga (SL),174*,228,159,19,3,109.43,1,,v India,Kingston,02-Jul-13,
ME Waugh (AUS),173,199,148,16,3,116.89,1,,v West Indies,Melbourne,09-Feb-01,
DA Warner (AUS),173,218,136,24,0,127.2,2,,v South Africa,Cape Town,12-Oct-16,
CB Wishart (ZIM),172*,191,151,18,3,113.9,1,,v Namibia,Harare,10-Feb-03,
AC Gilchrist (AUS),172,197,126,13,3,136.5,1,,v Zimbabwe,Hobart,16-Jan-04,
L Vincent (NZ),172,168,120,16,9,143.33,1,,v Zimbabwe,Bulawayo,24-Aug-05,
RG Sharma (INDIA),171*,205,163,13,7,104.9,1,,v Australia,Perth,12-Jan-16,
AD Hales (ENG),171,166,122,22,4,140.16,1,,v Pakistan,Nottingham,30-Aug-16,
L Ronchi (NZ),170*,122,99,14,9,171.71,1,,v Sri Lanka,Dunedin,23-Jan-15,
SD Hope (WI),170,-,152,22,2,111.84,1,,v Ireland,Dublin,05-May-19,
KC Sangakkara (SL),169,200,137,18,6,123.35,1,,v South Africa,Colombo (RPS),20-Jul-13,
D Ramdin (WI),169,187,121,8,11,139.66,1,,v Bangladesh,Basseterre,25-Aug-14,
Q de Kock (SA),168*,188,145,21,2,115.86,2,,v Bangladesh,Kimberley,15-Oct-17,
BB McCullum (NZ),166,-,135,12,10,122.96,1,,v Ireland,Aberdeen,01-Jul-08,
DA Warner (AUS),166,184,147,14,5,112.92,1,,v Bangladesh,Nottingham,20-Jun-19,
RT Ponting (AUS),164,154,105,13,9,156.19,1,,v South Africa,Johannesburg,12-Mar-06,
SPD Smith (AUS),164,206,157,14,4,104.45,1,,v New Zealand,Sydney,04-Dec-16,
SR Tendulkar (INDIA),163*,206,133,16,5,122.55,1,,v New Zealand,Christchurch,08-Mar-09,
DA Warner (AUS),163,219,157,13,2,103.82,1,,v Sri Lanka,Brisbane,04-Mar-12,
AB de Villiers (SA),162*,103,66,17,8,245.45,1,,v West Indies,Sydney,27-Feb-15,
JJ Roy (ENG),162,172,118,13,3,137.28,2,,v Sri Lanka,The Oval,29-Jun-16,
RG Sharma (INDIA),162,-,137,20,4,118.24,1,,v West Indies,Mumbai (BS),29-Oct-18,
CH Gayle (WI),162,-,97,11,14,167.01,2,,v England,St George's,27-Feb-19,
SR Watson (AUS),161*,215,150,12,4,107.33,2,,v England,Melbourne,16-Jan-11,
TM Dilshan (SL),161*,221,146,22,0,110.27,1,,v Bangladesh,Melbourne,26-Feb-15,
JAH Marshall (NZ),161,-,141,11,4,114.18,1,,v Ireland,Aberdeen,01-Jul-08,
TM Dilshan (SL),160*,202,165,11,3,96.96,1,,v India,Hobart,28-Feb-12,
EC Joyce (IRE),160*,-,148,19,3,108.1,1,,v Afghanistan,Belfast,19-Jul-16,
V Kohli (INDIA),160*,220,159,12,2,100.62,1,,v South Africa,Cape Town,07-Feb-18,
Imran Nazir (PAK),160,201,121,14,8,132.23,1,,v Zimbabwe,Kingston,21-Mar-07,
TM Dilshan (SL),160,186,124,20,3,129.03,2,,v India,Rajkot,15-Dec-09,
D Mongia (INDIA),159*,233,147,17,1,108.16,1,,v Zimbabwe,Guwahati,19-Mar-02,
HM Amla (SA),159,168,128,16,4,124.21,1,,v Ireland,Canberra,03-Mar-15,
RG Sharma (INDIA),159,-,138,17,5,115.21,1,,v West Indies,Visakhapatnam,18-Dec-19,
ML Hayden (AUS),158,216,143,14,4,110.48,1,,v West Indies,North Sound,27-Mar-07,
AJ Strauss (ENG),158,188,145,18,1,108.96,2,,v India,Bengaluru,27-Feb-11,
XM Marshall (WI),157*,131,118,11,12,133.05,1,,v Canada,King City (NW),22-Aug-08,
CS MacLeod (SCOT),157*,164,146,23,1,107.53,2,,v Afghanistan,Bulawayo,04-Mar-18,
V Kohli (INDIA),157*,217,129,13,4,121.7,1,,v West Indies,Visakhapatnam,24-Oct-18,
ST Jayasuriya (SL),157,157,104,24,1,150.96,1,,v Netherlands,Amstelveen,04-Jul-06,
BC Lara (WI),156,176,138,12,5,113.04,1,,v Pakistan,Adelaide,28-Jan-05,
A Symonds (AUS),156,149,127,12,8,122.83,1,,v New Zealand,Wellington,07-Dec-05,
H Masakadza (ZIM),156,216,151,11,6,103.31,1,,v Kenya,Harare,12-Oct-09,
GJ Bailey (AUS),156,139,114,13,6,136.84,1,,v India,Nagpur,30-Oct-13,
KJ Coetzer (SCOT),156,198,134,17,4,116.41,1,,v Bangladesh,Nelson,05-Mar-15,
DA Warner (AUS),156,214,128,13,4,121.87,1,,v New Zealand,Melbourne,09-Dec-16,
V Kohli (INDIA),154*,202,134,16,1,114.92,2,,v New Zealand,Mohali,23-Oct-16,
Tamim Iqbal (BDESH),154,191,138,7,6,111.59,2,,v Zimbabwe,Bulawayo,16-Aug-09,
AJ Strauss (ENG),154,201,140,16,5,110,1,,v Bangladesh,Birmingham,12-Jul-10,
HM Amla (SA),154,217,134,15,5,114.92,1,,v Sri Lanka,Centurion,10-Feb-17,
CS MacLeod (SCOT),154,-,163,15,3,94.47,1,,v P.N.G.,Port Moresby,06-Oct-17,
CH Gayle (WI),153*,225,160,19,2,95.62,1,,v Zimbabwe,Bulawayo,22-Nov-03,
HM Amla (SA),153*,236,142,14,0,107.74,1,,v West Indies,Johannesburg,18-Jan-15,
AJ Finch (AUS),153*,-,143,11,6,106.99,2,,v Pakistan,Sharjah,24-Mar-19,
HH Gibbs (SA),153,181,131,17,3,116.79,1,,v Bangladesh,Potchefstroom,03-Oct-02,
JJ Roy (ENG),153,153,121,14,5,126.44,1,,v Bangladesh,Cardiff,08-Jun-19,
AJ Finch (AUS),153,176,132,15,5,115.9,1,,v Sri Lanka,The Oval,15-Jun-19,
CH Gayle (WI),152*,220,153,12,3,99.34,1,,v South Africa,Johannesburg,04-Feb-04,
RG Sharma (INDIA),152*,-,117,15,8,129.91,2,,v West Indies,Guwahati,21-Oct-18,
CH Gayle (WI),152,-,150,17,1,101.33,1,,v Kenya,Nairobi,15-Aug-01,
SR Tendulkar (INDIA),152,193,151,18,0,100.66,1,,v Namibia,Pietermaritzburg,23-Feb-03,
AJ Strauss (ENG),152,207,128,19,0,118.75,1,,v Bangladesh,Nottingham,21-Jun-05,
ST Jayasuriya (SL),152,148,99,20,4,153.53,2,,v England,Leeds,01-Jul-06,
Sharjeel Khan (PAK),152,-,86,16,9,176.74,1,,v Ireland,Dublin (Malahide),18-Aug-16,
A Symonds (AUS),151,194,127,13,3,118.89,1,,v Sri Lanka,Sydney,12-Feb-06,
SE Marsh (AUS),151,184,151,16,5,100,1,,v Scotland,Edinburgh,03-Sep-13,
TP Ura (PNG),151,214,142,10,6,106.33,1,,v Ireland,Harare,06-Mar-18,
Imam-ul-Haq (PAK),151,211,131,16,1,115.26,1,,v England,Bristol,14-May-19,
G Gambhir (INDIA),150*,-,137,14,0,109.48,2,,v Sri Lanka,Kolkata,24-Dec-09,
JP Duminy (SA),150*,143,122,5,8,122.95,1,,v Netherlands,Amstelveen,31-May-13,
G Gambhir (INDIA),150,214,147,14,1,102.04,1,,v Sri Lanka,Colombo (RPS),05-Feb-09,
HM Amla (SA),150,209,124,16,0,120.96,1,,v England,Southampton,28-Aug-12,
RG Sharma (INDIA),150,215,133,13,6,112.78,2,,v South Africa,Kanpur,11-Oct-15,
Yuvraj Singh (INDIA),150,183,127,21,3,118.11,1,,v England,Cuttack,19-Jan-17,
JC Buttler (ENG),150,-,77,13,12,194.8,1,,v West Indies,St George's,27-Feb-19,
S Chanderpaul (WI),149*,233,136,16,3,109.55,2,,v India,Nagpur,21-Jan-07,
AC Gilchrist (AUS),149,129,104,13,8,143.26,1,,v Sri Lanka,Bridgetown,28-Apr-07,
AB de Villiers (SA),149,59,44,9,16,338.63,1,,v West Indies,Johannesburg,18-Jan-15,
SPD Smith (AUS),149,179,135,11,2,110.37,2,,v India,Perth,12-Jan-16,
MS Dhoni (INDIA),148,155,123,15,4,120.32,1,,v Pakistan,Visakhapatnam,05-Apr-05,
